,attr_importance
DocID,0.022149233
InterStrokeTime,0.019872683
StrokeDuration,0.039484845
StartX,0.047878073
StartY,0.073535941
StopX,0.063040611
StopY,0.039369972
DirectEndToEndDistance,0.036434531
MeanResultantLength,0.01378315
UDLRFlag,0.014255306
DirectionEndtoEnd,0.097486292
PhoneID,0.312522954
X20PairwiseVelocity,0.020472858
X50PairwiseVelocity,0.043072621
X80PairwiseVelocity,0.035948205
X20PairwiseAcceleration,0.029934751
X50PairwiseAcceleration,0.022242293
X80PairwiseAcceleration,0.025434329
MedianVelocityLastThree,0.023589757
LargestDeviationEndToEnd,0.016989749
X20DeviationEndToEnd,0.022671085
X50DeviationEndToEnd,0.013761649
X80DeviationEndToEnd,0.014721542
AverageDirection,0.063279677
LengthTrajectory,0.033867301
RatioEndToEndDistLength,0.017582944
AverageVelocity,0.036097543
MedianAccelerationFirstFive,0.015710101
MidStrokePressure,0.173718844
MidStrokeAreaCovered,0.123629371
MidStrokeOrientation,0.042324319
ChangeOfOrientation,0
PhoneOrientation,0.019801705
MeanPressure,0.162324245
VariancePressure,0.082518482
